@relation 'kazova'
@attribute 'Kum' real
@attribute 'Kil' real
@attribute 'Agregat Stabilitesi' real
@attribute 'OM' real
@attribute 'Kirec' real
@attribute 'KDK' real
@data
21.25,56.25,77.61,2.33,16.77,35.47
38.75,40.00,89.49,1.63,8.83,36.16
13.75,62.50,80.54,2.20,8.76,29.40
25.00,46.25,70.38,2.89,11.28,23.92
18.75,56.25,88.07,1.87,10.02,26.64
15.00,58.75,98.67,2.32,9.43,33.31
8.75,73.75,89.84,1.24,11.80,45.99
11.25,57.50,38.96,1.39,8.91,22.26
25.00,48.75,83.57,1.52,9.72,20.57
30.00,45.00,46.23,1.25,9.87,18.53
16.25,56.25,95.91,2.63,13.51,24.11
20.00,51.25,81.57,1.82,8.91,26.04
36.25,41.25,60.66,1.37,9.06,19.20
31.25,43.75,64.42,1.49,12.99,20.74
21.25,48.75,74.14,1.88,13.21,42.24
41.25,33.75,69.14,1.22,14.70,29.51
22.50,51.25,70.90,1.74,9.80,23.64
18.75,48.75,75.68,1.53,10.09,23.83
23.75,47.50,68.44,2.14,10.84,18.78
15.00,58.75,92.82,2.06,8.09,32.75
26.25,38.75,67.65,1.45,9.06,17.55
20.00,50.00,70.25,1.59,4.75,25.46
23.75,42.50,88.32,1.50,3.71,14.65
31.25,40.00,45.95,1.30,8.02,13.16
32.50,37.50,64.08,1.33,6.46,16.45
35.00,35.00,69.26,0.96,6.83,11.37
22.50,35.00,64.00,1.30,7.05,11.18
25.00,35.00,57.52,1.60,8.98,25.85
13.75,71.25,77.97,1.65,8.54,30.57
10.00,72.50,98.45,4.18,20.19,40.62
17.50,67.50,100.00,5.08,18.56,42.50
32.50,43.75,95.88,6.78,12.25,39.02
40.00,33.75,96.35,2.37,16.48,18.28
27.50,45.00,71.43,1.42,20.49,28.78
37.50,37.50,54.92,0.93,11.50,21.27
8.00,67.00,82.91,1.92,8.46,37.58
35.00,43.75,99.09,5.57,21.60,40.37
65.00,12.50,86.05,1.15,11.13,10.93
20.00,41.25,98.06,2.79,15.23,28.67
25.00,47.50,98.94,4.07,16.96,34.78
18.75,52.50,97.86,4.32,21.34,31.04
58.75,25.00,63.14,1.15,10.47,12.86
22.50,45.00,60.10,1.82,12.77,22.04
16.25,58.75,88.34,1.83,12.62,23.44
37.50,32.50,96.65,3.34,7.72,19.44
40.00,32.50,99.42,3.84,6.90,19.09
32.50,37.50,96.82,3.51,7.79,20.85
7.50,63.75,95.79,2.89,8.06,30.61
40.00,25.00,95.38,2.41,10.88,17.25
41.25,28.75,94.94,1.94,7.77,15.82
36.25,33.00,73.64,1.95,9.25,17.50
15.00,62.50,95.95,2.96,8.14,33.51
13.75,63.75,95.00,2.70,8.88,32.49
16.25,52.50,77.55,2.55,10.06,31.26
12.50,66.25,94.22,3.02,12.28,35.02
13.75,67.50,78.87,3.00,8.06,33.40
17.50,41.25,64.69,1.42,8.58,23.64
13.75,55.00,80.26,2.31,6.81,27.01
15.00,48.75,54.68,1.97,7.92,21.85
19.25,34.50,74.75,2.10,7.77,20.32
12.50,56.25,88.55,2.60,7.40,30.61
15.00,55.00,97.11,5.61,4.81,34.90
36.00,29.25,61.07,1.39,8.36,17.66
36.25,22.50,33.58,1.45,7.55,18.42
32.50,31.25,64.06,1.81,7.25,20.67
18.75,37.50,51.15,2.22,6.88,20.94
21.25,42.50,43.41,1.52,7.84,20.85
18.75,42.50,38.35,2.05,8.14,21.21
15.75,50.00,82.00,2.78,7.32,34.90
7.50,57.50,95.51,2.40,6.88,33.97
31.25,30.00,66.15,1.69,8.04,17.25
52.50,21.25,45.67,1.34,6.96,12.65
12.50,42.50,82.91,2.13,8.88,20.67
10.00,53.25,91.56,3.93,6.64,25.19
30.00,27.50,94.65,5.93,5.30,22.78
27.50,42.25,91.73,4.55,5.97,24.21
13.75,58.75,68.89,1.81,8.66,27.63
27.50,39.25,96.03,4.30,10.52,21.21
55.00,26.25,92.88,2.84,7.99,15.58
13.75,36.25,92.25,3.09,7.76,23.16
22.50,30.00,92.60,3.05,8.36,21.39
22.00,40.00,90.65,3.18,3.21,22.50
27.00,47.50,95.93,3.18,3.21,25.69
17.50,52.50,97.66,3.83,3.43,29.85
17.50,42.50,49.21,1.60,6.87,19.35
20.00,42.50,47.00,1.91,8.13,17.09
40.00,38.00,58.58,2.11,2.46,16.61
38.75,35.00,47.84,1.73,1.94,14.90
22.50,37.50,50.25,1.48,9.70,14.08
11.25,52.50,95.43,2.28,5.37,22.31
12.50,55.00,82.05,2.74,7.16,38.37
15.00,45.00,44.53,1.56,7.54,21.21
27.50,36.25,52.54,1.84,3.73,13.14
45.00,37.50,85.66,1.54,9.78,34.90
22.50,50.00,91.69,2.05,11.12,43.82
25.00,55.00,93.98,1.82,10.52,39.60
22.50,58.75,92.58,2.15,13.26,31.49
33.75,50.00,61.05,2.72,19.67,27.11
14.25,70.00,92.29,1.17,14.85,39.48
7.50,75.00,97.89,1.21,14.02,44.48
8.75,73.75,90.48,1.10,13.19,44.92
11.25,73.75,94.88,1.05,13.04,43.33
20.00,67.50,95.89,1.79,9.19,43.59
6.25,77.50,94.85,1.42,8.44,37.88
8.75,66.25,78.41,1.88,6.93,28.50
12.50,61.25,88.00,2.99,8.59,32.57
6.25,71.25,92.07,2.05,7.91,33.37
22.50,57.50,76.02,1.29,15.22,24.01
6.25,71.25,96.51,1.33,11.83,30.11
8.75,64.50,92.04,2.01,6.78,26.11
21.00,48.25,51.19,1.12,7.84,23.14
15.00,57.00,81.40,1.73,5.12,26.93
8.75,65.00,79.78,1.65,5.28,26.93
10.75,61.25,88.47,1.99,8.44,30.22
13.75,58.75,94.20,1.95,9.01,27.13
21.25,55.00,72.60,1.65,9.76,25.40
13.75,58.75,66.04,1.61,9.53,27.97
30.75,46.25,60.35,1.47,8.70,20.45
18.75,45.00,71.47,1.18,9.53,24.70
23.75,53.75,96.26,1.48,6.00,29.03
